女人花	梅艳芳
味道	辛晓琪
煎熬	李佳薇
左边右边	杨培安
兰花草	刘文正
高原蓝	乌兰托娅
经过	陈楚生vs何洁
烟花三月	童丽
葬花吟	童丽
贞观长歌片尾曲	张澜澜
火辣辣的情歌	乌兰图雅
老男孩	老男孩
黑蝙蝠中队	刘德华
真我最自由	杨培安
醉赤壁	林俊杰
爱在末日前	神木与瞳
独立	蜜雪薇琪
在梅边	王力宏
恋爱频率	许志安
草原凤凰	凤凰传奇
茶山情歌	杨钰莹
凤凰花又开	陈楚生
If You Com Back	Blue
武装的蔷薇	神木与瞳
不放	神木与瞳
BABY	品冠
乡间的小路	刘文正
感恩的心	杨培安
春风	王筝
画心	张靓颖
太多	陈冠蒲
花太香	任贤齐
从头再来	刘欢
萤火虫	伊能静
我是不是你最疼爱的人	潘越云
Gotta Have You	The Weepies
渔樵问答	大乔小乔
What Makes You Beaut...	One Direction
Somebody That I Used...	Gotye
小宇	张震岳
B小调雨后	叶蓓
你的样子	罗大佑
那些年	胡夏
小情歌	苏打绿
你敢不敢	徐佳莹
越反越爱	林宥嘉
Someone Like You	Adele
依然在一起	马天宇
还是好朋友	王心凌
My Love	田馥甄
怎么说我不爱你	萧敬腾
魔鬼中的天使	田馥甄
回头太难	张学友
讲不出再见	谭咏麟
末班车	萧煌奇
Un Ange Frappe A Ma Porte	Natasha St. Pier
七友	梁汉文
Halo	Beyoncé
One More Night	Maroon 5
寂寞寂寞就好	田馥甄
离别的秋天	孙露
硬币	汪峰
最远的你是我最近的爱	车继铃
温柔的慈悲	林良乐
If I Were A Boy	Beyoncé
